rank,State,Cases_Feb_29,Cases_Mar_17,Cases_Mar_31,Cases_Apr_19,Cases_May_02,Population,Density,White_Race,Black_Or_African_Race,Other_Race,Asian_Race,Two_Or_More_Race,Native_American_Race,Native_Hawaiian_Race,State_Area,Cases_Per_Sq_Mile_Feb_29,Cases_Per_Sq_Mile_Mar_17,Cases_Per_Sq_Mile_Mar_31,Cases_Per_Sq_Mile_Apr_19,Cases_Per_Sq_Mile_May_02,Employed_People,UnEmployed_People,Mean_Temp_Feb,Mean_Temp_Mar,Mean_Temp_Apr,Median_Age,Air_Pollution,Asthma,Diabetes,Six_Plus_Teeth_Extractions,High_Blood_Pressure,Multiple_Chronic_Conditions_Seniors,Heart_Disease,Heart_Attack,Stroke,High_Cholesterol
24,Alabama,0,39,999,4837,7611,4908621,96.9221,3347188.66,1304711.462,70684.1424,65284.6593,70684.1424,26015.6913,1963.4484,52420,0,0.072109155,1.847103737,8.943384161,14.07237892,2174000,2734621,47.5,55.5,62.5,38.9,7.4,535039.689,711750.045,1359688.02,2056712.2,2095981.17,299425.881,299425.881,255248.292,1826007.01
49,Alaska,0,6,133,319,365,734002,1.2863,475926.8968,24001.8654,10936.6298,46242.126,62096.5692,105989.8888,8808.024,665384,0,1.16E-05,0.000257112,0.000616681,0.000705607,326000,408002,20.5,26.5,36.5,34,8.4,35966.098,64592.176,130652.356,233412.636,165884.452,22754.062,24956.068,19818.054,229008.624
14,Arizona,1,20,1298,4929,8364,7378494,64.955,5697673.067,323915.8866,500999.7426,242752.4526,268577.1816,329080.8324,14756.988,113990,0.000569831,0.011396614,0.739640232,2.808695456,4.766063865,3385000,3993494,60,65,72.5,37.4,9.7,656685.966,796877.352,1283857.96,2265197.66,2405389.04,317275.242,339410.724,250868.796,2464417
33,Arkansas,0,22,564,1777,3372,3038999,58.403,2340029.23,468309.7459,80229.5736,44673.2853,77190.5746,20361.2933,8205.2973,53179,0,0.024161154,0.619404126,1.95156229,3.703245943,1314000,1724999,45,53.5,62,37.9,7.1,197534.935,422420.861,847880.721,1255106.59,1109234.64,194495.936,203612.933,139793.954,1118351.63
1,California,28,732,8582,30852,53606,39937489,256.3727,24002430.89,2312380.613,5523354.729,5719048.425,1920993.221,303524.9164,155756.2071,163695,0.043852504,1.146429741,13.4407924,48.31919448,83.95561841,18627000,21310489,50.5,54.5,58.5,36.3,11.9,2955374.19,4153498.86,4832436.17,11342246.9,13818371.2,1277999.65,1198124.67,1038374.71,12300746.6
21,Colorado,0,183,2990,9433,16225,5845526,56.4011,4920179.234,240835.6712,226806.4088,182380.4112,208685.2782,57870.7074,8768.289,104094,0,0.099154623,1.620067333,5.111068614,8.791168055,3062000,2783526,32.5,40.5,47.5,36.6,7.7,374113.664,409186.82,742381.802,1513991.23,1508145.71,157829.202,187056.832,116910.52,1771194.38
29,Connecticut,0,68,3128,17550,29287,3563077,735.8689,2720765.597,376260.9312,184211.0809,157844.3111,112949.5409,9620.3079,1068.9231,5543,0,9.027437344,415.2621178,2329.875373,3888.03761,1842000,1721077,32.5,39,49.5,40.8,6.7,384812.316,345618.469,424006.163,1086738.49,1400289.26,131833.849,131833.849,92640.002,1147310.79
46,Delaware,0,16,319,2538,5038,982895,504.3073,677902.6815,217318.0845,18675.005,38038.0365,26931.323,3538.422,491.4475,2489,0,3.241830775,64.63400108,514.2354067,1020.771465,469000,513895,38,45.5,55,40.2,10.4,89443.445,116964.505,163160.57,343030.355,402004.055,41281.59,42264.485,37350.01,340081.67
50,District of Columbia,0,31,495,2793,4797,720687,11814.541,293103.4029,344128.0425,33151.602,27386.106,20683.7169,1873.7862,288.2748,68,0,5386.04075,86002.90875,485264.8973,833446.3703,387000,333687,36,44,54,33.9,7.1,80716.944,60537.708,108103.05,192423.429,250078.389,18017.175,17296.488,25944.732,198188.925
3,Florida,0,210,6741,25996,35463,21992985,410.1256,16580511.39,3540870.585,620202.177,596009.8935,578415.5055,61580.358,13195.791,65755,0,1.309807254,42.04481286,162.1416637,221.1890222,10016000,11976985,54.5,60.5,66,41.9,8.6,2309263.43,2771116.11,4486568.94,7609572.81,9984815.19,1143635.22,1319579.1,901712.385,7895481.62
8,Georgia,0,142,4117,18301,28332,10736059,186.6719,6338569.234,3377564.161,295241.6225,419779.9069,263033.4455,35428.9947,6441.6354,59425,0,0.446064952,12.93274232,57.48897673,88.99938192,4935000,5801059,47,54.5,62,36.5,8.6,891092.897,1352743.43,2608862.34,3553635.53,4187063.01,493858.714,493858.714,397234.183,3338914.35
41,Hawaii,0,14,224,574,620,1412687,219.9419,353313.0187,26134.7095,15257.0196,533289.3425,339468.6861,2966.6427,142398.8496,10932,0,0.28166727,4.506676326,11.54835809,12.47383626,647000,765687,73,74.5,76,38.9,5.8,118665.708,162459.005,153982.883,432282.222,474662.832,43793.297,55094.793,40967.923,449234.466
